month,count,avg_12m,sd_12m,z_score,ma6,upper_1sd,upper_2sd,lower_1sd,lower_2sd,deaths,injuries,malfunctions,severity_score,rate_per_m,rate_per_10k,slope_6m,quarter
2023-03,1,1.0,0,0,1.0,1.0,1.0,1.0,1.0,0,1,0,3,0.01,0.0182,0,2023-Q1
2023-04,2,1.5,0.5,1.0,1.5,2.0,2.5,1.0,0.5,0,0,2,2,0.01,0.0351,0,2023-Q2
2023-07,1,1.3,0.5,-0.71,1.3,1.8,2.3,0.9,0.4,0,0,1,1,0.01,0.0169,0,2023-Q3
2024-03,1,1.2,0.4,-0.58,1.2,1.7,2.1,0.8,0.4,0,1,0,3,0.0,0.0159,0,2024-Q1
2024-06,1,1.2,0.4,-0.5,1.2,1.6,2.0,0.8,0.4,0,0,1,1,0.0,0.0152,0,2024-Q2
2024-10,3,1.5,0.8,1.96,1.5,2.3,3.0,0.7,0,0,2,1,7,0.01,0.0417,0.2,2024-Q4
2025-04,5,2.0,1.4,2.12,2.2,3.4,4.8,0.6,0,0,0,5,5,0.02,0.0641,0.6,2025-Q2
2025-06,2,2.0,1.3,0.0,2.2,3.3,4.6,0.7,0,0,2,0,6,0.01,0.0256,0.54,2025-Q2
2026-02,1,1.9,1.3,-0.69,2.2,3.2,4.5,0.6,0,0,1,0,3,0.0,0.0115,0.14,2026-Q1
